job_id,job_title,cv_id,cv_category,similarity_score,gemini_score
3894997641,Network Infrastructure Engineer,24913648,INFORMATION-TECHNOLOGY,7,7
3894997641,Network Infrastructure Engineer,63158213,INFORMATION-TECHNOLOGY,7,8
3894997641,Network Infrastructure Engineer,15145575,INFORMATION-TECHNOLOGY,7,7
3894997641,Network Infrastructure Engineer,20574232,CONSULTANT,7,7
3894997641,Network Infrastructure Engineer,73030450,INFORMATION-TECHNOLOGY,7,8
3894997641,Network Infrastructure Engineer,10704573,BUSINESS-DEVELOPMENT,3,2
3894997641,Network Infrastructure Engineer,19786924,TEACHER,1,1
3894997641,Network Infrastructure Engineer,28745844,HEALTHCARE,4,1
3894997641,Network Infrastructure Engineer,58428843,SALES,3,1
3894997641,Network Infrastructure Engineer,25923361,TEACHER,2,1
3901936723,Talent Coordinator,31926950,HR,7,8
3901936723,Talent Coordinator,14517953,CONSULTANT,6,4
3901936723,Talent Coordinator,10984392,CONSULTANT,6,4
3901936723,Talent Coordinator,15119529,CONSULTANT,6,4
3901936723,Talent Coordinator,65352424,HR,6,7
3901936723,Talent Coordinator,90867631,INFORMATION-TECHNOLOGY,4,2
3901936723,Talent Coordinator,96547039,TEACHER,3,2
3901936723,Talent Coordinator,20966771,PUBLIC-RELATIONS,4,5
3901936723,Talent Coordinator,28109594,DIGITAL-MEDIA,5,5
3901936723,Talent Coordinator,15363277,ACCOUNTANT,3,2
3884431593,Creative Content Developer (323565),79432080,ARTS,6,2
3884431593,Creative Content Developer (323565),18979238,DESIGNER,6,2
3884431593,Creative Content Developer (323565),24679149,DIGITAL-MEDIA,6,3
3884431593,Creative Content Developer (323565),15425154,DESIGNER,6,4
3884431593,Creative Content Developer (323565),62312955,DESIGNER,5,2
3884431593,Creative Content Developer (323565),23497307,ENGINEERING,3,2
3884431593,Creative Content Developer (323565),15471999,DESIGNER,4,1
3884431593,Creative Content Developer (323565),97449528,AUTOMOBILE,4,2
3884431593,Creative Content Developer (323565),62184086,TEACHER,3,1
3884431593,Creative Content Developer (323565),18645964,BANKING,4,2
3905295685,Retail Store Manager,11842348,BANKING,7,4
3905295685,Retail Store Manager,18480859,CHEF,7,5
3905295685,Retail Store Manager,29772450,CHEF,7,4
3905295685,Retail Store Manager,19268120,CHEF,7,3
3905295685,Retail Store Manager,11444536,CHEF,7,5
3905295685,Retail Store Manager,74512244,FINANCE,4,2
3905295685,Retail Store Manager,10568183,HEALTHCARE,2,2
3905295685,Retail Store Manager,29648950,SALES,5,5
3905295685,Retail Store Manager,13367322,FITNESS,4,3
3905295685,Retail Store Manager,39166680,DIGITAL-MEDIA,4,2
3902759024,Seasonal Sales Associate,25213006,CONSULTANT,7,7
3902759024,Seasonal Sales Associate,32433431,CONSULTANT,7,6
3902759024,Seasonal Sales Associate,14517953,CONSULTANT,7,2
3902759024,Seasonal Sales Associate,13215696,BPO,7,7
3902759024,Seasonal Sales Associate,69181350,CONSULTANT,7,2
3902759024,Seasonal Sales Associate,29573698,SALES,4,7
3902759024,Seasonal Sales Associate,30713796,BANKING,4,5
3902759024,Seasonal Sales Associate,98300955,HEALTHCARE,3,1
3902759024,Seasonal Sales Associate,19364677,CONSTRUCTION,3,1
3902759024,Seasonal Sales Associate,29510501,TEACHER,3,2
3895205640,"VP, Business Development ",27375577,BUSINESS-DEVELOPMENT,7,7
3895205640,"VP, Business Development ",15233524,BUSINESS-DEVELOPMENT,7,7
3895205640,"VP, Business Development ",38688388,BUSINESS-DEVELOPMENT,7,7
3895205640,"VP, Business Development ",24647386,BUSINESS-DEVELOPMENT,6,7
3895205640,"VP, Business Development ",59696315,BUSINESS-DEVELOPMENT,6,7
3895205640,"VP, Business Development ",24397882,FINANCE,3,3
3895205640,"VP, Business Development ",47410104,FINANCE,5,4
3895205640,"VP, Business Development ",64468610,ENGINEERING,3,2
3895205640,"VP, Business Development ",18072085,ACCOUNTANT,3,2
3895205640,"VP, Business Development ",45656814,FITNESS,2,2
3906224875,Teacher Language Arts - Grade 6,29639533,TEACHER,7,8
3906224875,Teacher Language Arts - Grade 6,21773106,TEACHER,6,8
3906224875,Teacher Language Arts - Grade 6,11943065,TEACHER,6,7
3906224875,Teacher Language Arts - Grade 6,29510501,TEACHER,6,7
3906224875,Teacher Language Arts - Grade 6,27126818,TEACHER,6,8
3906224875,Teacher Language Arts - Grade 6,57364820,CONSULTANT,3,1
3906224875,Teacher Language Arts - Grade 6,28635795,ADVOCATE,3,2
3906224875,Teacher Language Arts - Grade 6,28916894,BUSINESS-DEVELOPMENT,3,2
3906224875,Teacher Language Arts - Grade 6,24550866,HEALTHCARE,3,2
3906224875,Teacher Language Arts - Grade 6,15821633,ACCOUNTANT,3,1
3902760109,Data Scientist,18448085,INFORMATION-TECHNOLOGY,7,8
3902760109,Data Scientist,12011623,ENGINEERING,6,8
3902760109,Data Scientist,20237244,INFORMATION-TECHNOLOGY,6,3
3902760109,Data Scientist,12351749,SALES,6,7
3902760109,Data Scientist,20001721,INFORMATION-TECHNOLOGY,6,5
3902760109,Data Scientist,17562754,DIGITAL-MEDIA,4,2
3902760109,Data Scientist,25935030,ACCOUNTANT,3,2
3902760109,Data Scientist,39675895,FINANCE,3,2
3902760109,Data Scientist,25930778,ENGINEERING,4,1
